BocaJR,Emerson Alencar, Robot E-Sports Team, Brazil,Support
brTT,Felipe Gonçalves, paiN Gaming, Brazil,AD
Brucer,Bruno Pereira, RED Canids, Brazil,Mid
Cabuloso,Victor Oliveira, Remo Brave e-Sports, Brazil,Support
Caos,Jonas Cardoso Vriesman, RED Canids, Brazil,Sub
Danagorn,Daniel Drummond, KaBuM! e-Sports, Brazil,Sub
dans,Daniel Dias, KaBuM! e-Sports, Brazil,Sub
Djokovic,Thiago Maia, CNB e-Sports Club, Brazil,Coach
DudsTheBoy,Igor Lima Homem, Overload, Brazil,AD
Eryon,Márcio Costa Jordão da Silveira Reis, RED Canids, Brazil,Support
esA,André Eidi Yanagimachi Pavezi, Keyd Stars, Brazil,AD
Espeon,Martin Gonçalves, Overload, Brazil,Support
Evrot,Danniel Franco, Remo Brave e-Sports, Brazil,Mid
EzPrince,Victor Sun, Operation Kino e-Sports, Brazil,AD
Freire,Matheus Freire, Remo Brave e-Sports, Brazil,Jungler
GGNiko,Nicholas Bocchi, CNB Trinity White, Brazil,Support
Gikko,Giordano Pereira, CNB Trinity Blue, Brazil,AD
Goku,Bruno Miyaguchi, Operation Kino e-Sports, Brazil,Mid
Jockster,Luan Cardoso, INTZ e-Sports, Brazil,Support
Kalec,Rodrigo Rodrigues, Robot E-Sports Team, Brazil,AD
Kami,Gabriel Santos, paiN Gaming, Brazil,Mid
Krastyel,Marcos Ferraz, Overload, Brazil,Mid
LEP,Pedro Marcari, KaBuM! e-Sports, Brazil,Top
Leko,Whesley Holler, paiN Gaming, Brazil,Sub
Leozuxo,Leonardo Camicia, Big Gods, Brazil,Jungler
Loop,Caio Almeida, paiN Gaming, Brazil,Analyst
Luskka,Lucas Felipe Rentechen, Big Gods, Brazil,AD
Lynx,Pedro Quintavalle, Overload, Brazil,Top
Matsukaze,Pedro Gama, KaBuM! e-Sports, Brazil,AD
MiT,Gabriel Souza, paiN Gaming, Brazil,Coach
micaO,Micael Rodrigues, INTZ e-Sports, Brazil,AD
Minerva,Gustavo Alves, KaBuM! e-Sports, Brazil,Jungler
Mylon,Matheus Borges, paiN Gaming, Brazil,Top
Nekro,Matheus Garçon, CNB Trinity White, Brazil,Jungle
pbo,Pablo Yuri, CNB e-Sports Club, Brazil,AD
Picoca,Matheus Tavares, paiN Gaming, Brazil,Sub
Preston,Bruno Andrade, Santos Dexterity, Brazil,Coach
Professor,Matheus Leirião, Operation Kino e-Sports, Brazil,Support
Rakin,Rafael Knittel, Big Gods, Brazil,Mid
Ranger,Filipe Brombilla, Big Gods, Brazil,Top
RedBert,Ygor Freitas, Big Gods, Brazil,Support
Revolta,Gabriel Henud, INTZ e-Sports, Brazil,Jungler
Robo,Leonardo Souza, Keyd Stars, Brazil,Top
SacyR,Gustavo Rossi, RED Canids, Brazil,AD
Sarkis,Matheus Guimarães, Remo Brave e-Sports, Brazil,AD
Sessh,Bruno Alexandre, Robot E-Sports Team, Brazil,Jungler
SirT,Thúlio Carlos, paiN Gaming, Brazil,Jungler
SkyBart,Mateus Neves, Operation Kino e-Sports, Brazil,Top
Skyer,Felipe Gimenes Madeira, Operation Kino e-Sports, Brazil,AD
TaeYeon,Rodrigo Panisa, g3nerationX, Brazil,Mid
takeshi,Murilo Alves, Keyd Stars, Brazil,Mid
TheFoxz,Renato Souza, paiN Gaming, Brazil,Sub
Thulz,Vinicius Machado, Remo Brave e-Sports, Brazil,Top
TinOwns,Thiago Sartori, KaBuM! e-Sports, Brazil,Mid
tockers,Gabriel Claumann, INTZ e-Sports, Brazil,Mid
Turtle,Gabriel Peixoto, Keyd Stars, Brazil,Jungler
Vash,Guilherme Del Buono, CNB e-Sports Club, Brazil,Mid
w0lv,Michel Bruno, e-Champ Gaming, Brazil,Top
Wos,Willyan Bonpam, CNB e-Sports Club, Brazil,Support
Yang,Felipe Zhao, INTZ e-Sports, Brazil,Top
yeTz,Mateus Vieira, Team Innova, Brazil,Manager
YoDa,Felipe Noronha, RED Canids, Brazil,Jungler
Zantins,Luccas Zanqueta, g3nerationX, Brazil,Top
ziriguidun,Pedro Vilarinho, KaBuM! e-Sports, Brazil,Support
Zuao,João Vitor Morais, Operation Kino e-Sports, Brazil,Jungler
Cavaradøssi,Petko Tsvyatkov, Bulgaria's Finest, Bulgaria,Jungle
Hylissang,Zdravets Iliev Galabov, Unicorns Of Love, Bulgaria,Support
Sløøpy,Nikolay Tsvyatkov, Obicham Pyrjoli, Bulgaria,Mid
Unlimited,Petar Georgiev, SK Gaming, Bulgaria,Support
Altec,Johnny Ru, NRG eSports, Canada,AD
Biofrost,Vincent Wang, Dream Team, Canada,Support
bobqinxd,Bob Qin, UBC eSports, Canada,Mid
Bodydrop,Adam Krauthaker, Frank Fang Gaming, Canada,Support
